User_id,category,Amount,Age,Day_of_week,Month,Day_of_month,year
1,Luxury Items,12245,44,0,1,1,2024
1,Public Transport,709,37,1,1,2,2024
1,Public Transport,877,33,2,1,3,2024
1,Healthcare,3601,31,3,1,4,2024
1,Travel,5151,23,4,1,5,2024
1,Dining,781,22,5,1,6,2024
1,Public Transport,559,42,6,1,7,2024
1,Healthcare,811,21,0,1,8,2024
1,Groceries,532,41,1,1,9,2024
1,Public Transport,428,38,2,1,10,2024
1,Travel,9802,20,3,1,11,2024
1,Travel,6350,29,4,1,12,2024
1,Rent,10202,24,5,1,13,2024
1,Rent,19549,27,6,1,14,2024
1,Healthcare,1947,23,0,1,15,2024
1,Utilities,496,41,1,1,16,2024
1,Public Transport,807,24,2,1,17,2024
1,Dining,686,28,3,1,18,2024
1,Travel,7097,35,4,1,19,2024
1,Groceries,834,26,5,1,20,2024
1,Public Transport,686,18,6,1,21,2024
1,Entertainment,773,27,0,1,22,2024
1,Travel,2349,33,1,1,23,2024
1,Public Transport,827,31,2,1,24,2024
1,Public Transport,380,19,3,1,25,2024
1,Groceries,667,28,4,1,26,2024
1,Education,8494,18,5,1,27,2024
1,Travel,8062,35,6,1,28,2024
1,Public Transport,483,20,0,1,29,2024
1,Groceries,1160,27,1,1,30,2024
1,Hobbies,726,26,2,1,31,2024
1,Public Transport,824,35,3,2,1,2024
1,Subscriptions,275,21,4,2,2,2024
1,Rent,8740,29,5,2,3,2024
1,Dining,1942,20,6,2,4,2024
1,Hobbies,2038,20,0,2,5,2024
1,Dining,542,18,1,2,6,2024
1,Utilities,1632,40,2,2,7,2024
1,Luxury Items,14214,31,3,2,8,2024
1,Public Transport,173,20,4,2,9,2024
1,Shopping,2697,25,5,2,10,2024
1,Dining,844,27,6,2,11,2024
1,Education,3776,28,0,2,12,2024
1,Hobbies,1332,40,1,2,13,2024
1,Shopping,1796,28,2,2,14,2024
1,Rent,8245,25,3,2,15,2024
1,Public Transport,658,37,4,2,16,2024
1,Hobbies,346,32,5,2,17,2024
1,Entertainment,2059,28,6,2,18,2024
1,Dining,1653,22,0,2,19,2024
1,Hobbies,914,28,1,2,20,2024
1,Travel,4893,25,2,2,21,2024
1,Healthcare,1741,48,3,2,22,2024
1,Hobbies,1841,33,4,2,23,2024
1,Utilities,1687,45,5,2,24,2024
1,Public Transport,793,37,6,2,25,2024
1,Groceries,561,42,0,2,26,2024
1,Education,1923,30,1,2,27,2024
1,Healthcare,3387,33,2,2,28,2024
1,Dining,493,18,3,2,29,2024
